"","processname","processcode","startdatetime","objectname","stagecounts"
"6573","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-01,NA,3133
"6574","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Blueprism.Automate.clsCredentialsActions",9
"6575","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Blueprism.Automate.clsWorkQueuesActions",286
"6576","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Blueprism.AutomateProcessCore.clsCollectionActions",57
"6577","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Custom Collection Actions",3
"6578","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"MS Excel VBO",18
"6579","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"MS Outlook Email VBO Extended",39
"6580","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Plugin - Image Processing",30
"6581","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"SITS",64
"6582","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"SITS_Launch and Navigate",57
"6583","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Sydney Student (Backend) - ACD Table",350
"6584","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Sydney Student (Backend) - Launch and General",195
"6585","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Utility - Collection Manipulation",152
"6586","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Utility - Date and Time Manipulation",51
"6587","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Utility - File Management",34
"6588","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,"Utility - Strings",19
"6589","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-02,NA,2150
"6590","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Blueprism.Automate.clsCredentialsActions",11
"6591","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Blueprism.Automate.clsWorkQueuesActions",283
"6592","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Blueprism.AutomateProcessCore.clsCollectionActions",64
"6593","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Custom Collection Actions",3
"6594","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"MS Excel VBO",18
"6595","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"MS Outlook Email VBO Extended",48
"6596","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Plugin - Image Processing",34
"6597","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"SITS",58
"6598","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"SITS_Launch and Navigate",69
"6599","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Sydney Student (Backend) - ACD Table",342
"6600","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Sydney Student (Backend) - Launch and General",200
"6601","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Utility - Collection Manipulation",132
"6602","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Utility - Date and Time Manipulation",55
"6603","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Utility - File Management",37
"6604","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,"Utility - Strings",18
"6605","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-03,NA,2244
"6606","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Blueprism.Automate.clsCredentialsActions",4
"6607","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Blueprism.Automate.clsWorkQueuesActions",127
"6608","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Blueprism.AutomateProcessCore.clsCollectionActions",23
"6609","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Custom Collection Actions",2
"6610","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"MS Excel VBO",12
"6611","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"MS Outlook Email VBO Extended",13
"6612","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Plugin - Image Processing",12
"6613","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"SITS",24
"6614","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"SITS_Launch and Navigate",26
"6615","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Sydney Student (Backend) - ACD Table",136
"6616","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Sydney Student (Backend) - Launch and General",85
"6617","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Utility - Collection Manipulation",85
"6618","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Utility - Date and Time Manipulation",21
"6619","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Utility - File Management",15
"6620","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,"Utility - Strings",6
"6621","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-04,NA,871
"6622","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Blueprism.Automate.clsCredentialsActions",5
"6623","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Blueprism.Automate.clsWorkQueuesActions",360
"6624","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Blueprism.AutomateProcessCore.clsCollectionActions",100
"6625","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Custom Collection Actions",1
"6626","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"MS Excel VBO",6
"6627","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"MS Outlook Email VBO Extended",69
"6628","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Plugin - Image Processing",61
"6629","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"SITS",130
"6630","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"SITS_Launch and Navigate",31
"6631","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Sydney Student (Backend) - ACD Table",559
"6632","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Sydney Student (Backend) - Launch and General",252
"6633","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Utility - Collection Manipulation",69
"6634","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Utility - Date and Time Manipulation",80
"6635","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Utility - File Management",53
"6636","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,"Utility - Strings",27
"6637","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-06,NA,3313
"6638","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Blueprism.Automate.clsCredentialsActions",9
"6639","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Blueprism.Automate.clsWorkQueuesActions",309
"6640","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Blueprism.AutomateProcessCore.clsCollectionActions",73
"6641","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Custom Collection Actions",3
"6642","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"MS Excel VBO",18
"6643","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"MS Outlook Email VBO Extended",37
"6644","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Plugin - Image Processing",42
"6645","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"SITS",40
"6646","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"SITS_Launch and Navigate",57
"6647","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Sydney Student (Backend) - ACD Table",203
"6648","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Sydney Student (Backend) - Launch and General",140
"6649","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Utility - Collection Manipulation",189
"6650","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Utility - Date and Time Manipulation",42
"6651","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Utility - File Management",34
"6652","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,"Utility - Strings",10
"6653","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-07,NA,2000
"6654","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Blueprism.Automate.clsCredentialsActions",27
"6655","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Blueprism.Automate.clsWorkQueuesActions",597
"6656","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Blueprism.AutomateProcessCore.clsCollectionActions",172
"6657","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Custom Collection Actions",3
"6658","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"MS Excel VBO",18
"6659","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"MS Outlook Email VBO Extended",318
"6660","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Plugin - Image Processing",110
"6661","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"SITS",134
"6662","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"SITS_Launch and Navigate",165
"6663","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Sydney Student (Backend) - ACD Table",626
"6664","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Sydney Student (Backend) - Launch and General",398
"6665","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Utility - Collection Manipulation",185
"6666","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Utility - Date and Time Manipulation",114
"6667","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Utility - File Management",78
"6668","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,"Utility - Strings",28
"6669","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-08,NA,5587
"6670","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Blueprism.Automate.clsCredentialsActions",15
"6671","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Blueprism.Automate.clsWorkQueuesActions",713
"6672","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Blueprism.AutomateProcessCore.clsCollectionActions",127
"6673","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Custom Collection Actions",3
"6674","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"MS Excel VBO",18
"6675","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"MS Outlook Email VBO Extended",154
"6676","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Plugin - Image Processing",77
"6677","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"SITS",188
"6678","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"SITS_Launch and Navigate",93
"6679","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Sydney Student (Backend) - ACD Table",923
"6680","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Sydney Student (Backend) - Launch and General",449
"6681","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Utility - Collection Manipulation",290
"6682","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Utility - Date and Time Manipulation",131
"6683","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Utility - File Management",79
"6684","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,"Utility - Strings",46
"6685","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-09,NA,5466
"6686","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Blueprism.Automate.clsCredentialsActions",18
"6687","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Blueprism.Automate.clsWorkQueuesActions",614
"6688","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Blueprism.AutomateProcessCore.clsCollectionActions",84
"6689","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Custom Collection Actions",3
"6690","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"MS Excel VBO",18
"6691","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"MS Outlook Email VBO Extended",122
"6692","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Plugin - Image Processing",48
"6693","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"SITS",168
"6694","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"SITS_Launch and Navigate",113
"6695","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Sydney Student (Backend) - ACD Table",95
"6696","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Sydney Student (Backend) - Launch and General",48
"6697","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Utility - Collection Manipulation",265
"6698","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Utility - Date and Time Manipulation",113
"6699","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Utility - File Management",69
"6700","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,"Utility - Strings",44
"6701","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-10,NA,4529
"6702","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Blueprism.Automate.clsCredentialsActions",2
"6703","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Blueprism.Automate.clsWorkQueuesActions",294
"6704","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Blueprism.AutomateProcessCore.clsCollectionActions",26
"6705","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Custom Collection Actions",2
"6706","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"MS Excel VBO",12
"6707","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"MS Outlook Email VBO Extended",30
"6708","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Plugin - Image Processing",16
"6709","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"SITS",64
"6710","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"SITS_Launch and Navigate",14
"6711","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Utility - Collection Manipulation",151
"6712","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Utility - Date and Time Manipulation",48
"6713","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Utility - File Management",30
"6714","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,"Utility - Strings",19
"6715","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-11,NA,1712
"6716","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Blueprism.Automate.clsCredentialsActions",13
"6717","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Blueprism.Automate.clsWorkQueuesActions",420
"6718","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Blueprism.AutomateProcessCore.clsCollectionActions",114
"6719","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"MS Outlook Email VBO Extended",71
"6720","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Plugin - Image Processing",66
"6721","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"SITS",186
"6722","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"SITS_Launch and Navigate",79
"6723","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Utility - Date and Time Manipulation",117
"6724","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Utility - File Management",67
"6725","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,"Utility - Strings",41
"6726","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-13,NA,4526
"6727","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Blueprism.Automate.clsCredentialsActions",3
"6728","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Blueprism.Automate.clsWorkQueuesActions",671
"6729","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Blueprism.AutomateProcessCore.clsCollectionActions",79
"6730","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Custom Collection Actions",4
"6731","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"MS Excel VBO",24
"6732","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"MS Outlook Email VBO Extended",76
"6733","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Plugin - Image Processing",50
"6734","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"SITS",172
"6735","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"SITS_Launch and Navigate",21
"6736","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Utility - Collection Manipulation",370
"6737","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Utility - Date and Time Manipulation",99
"6738","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Utility - File Management",62
"6739","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,"Utility - Strings",36
"6740","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-14,NA,4031
"6741","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Blueprism.Automate.clsCredentialsActions",7
"6742","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Blueprism.Automate.clsWorkQueuesActions",627
"6743","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Blueprism.AutomateProcessCore.clsCollectionActions",85
"6744","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Custom Collection Actions",3
"6745","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"MS Excel VBO",18
"6746","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"MS Outlook Email VBO Extended",73
"6747","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Plugin - Image Processing",52
"6748","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"SITS",174
"6749","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"SITS_Launch and Navigate",45
"6750","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Utility - Collection Manipulation",254
"6751","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Utility - Date and Time Manipulation",120
"6752","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Utility - File Management",70
"6753","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,"Utility - Strings",44
"6754","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-15,NA,4545
"6755","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Blueprism.Automate.clsCredentialsActions",9
"6756","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Blueprism.Automate.clsWorkQueuesActions",240
"6757","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Blueprism.AutomateProcessCore.clsCollectionActions",38
"6758","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Custom Collection Actions",2
"6759","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"MS Excel VBO",12
"6760","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"MS Outlook Email VBO Extended",25
"6761","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Plugin - Image Processing",16
"6762","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"SITS",60
"6763","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"SITS_Launch and Navigate",57
"6764","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Utility - Collection Manipulation",140
"6765","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Utility - Date and Time Manipulation",41
"6766","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Utility - File Management",27
"6767","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,"Utility - Strings",18
"6768","P5 V3 - SAS - (Processor) Sydney Student Document Uploader","P5",2019-10-16,NA,1727
"6769","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-09-26,"MS Outlook Email VBO Extended",1
"6770","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-09-26,NA,8
"6771","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-07,"MS Outlook Email VBO Extended",1
"6772","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-07,NA,8
"6773","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-12,"MS Outlook Email VBO Extended",2
"6774","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-12,"Utility - General",1
"6775","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-12,NA,11
"6776","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-13,"MS Outlook Email VBO Extended",1
"6777","P50 - Processing Credit Offers - Queue Loader V2","P50",2019-10-13,NA,8
"6778","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-26,"Sydney Student (web)_Launch and Navigate",5
"6779","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-26,NA,7
"6780","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Blueprism.Automate.clsWorkQueuesActions",2
"6781","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Blueprism.AutomateProcessCore.clsCollectionActions",6
"6782","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Outlook",4
"6783","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Sydney Student (Web) - Applicant Credits & Credits",14
"6784","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Sydney Student (Web) - SM Request",9
"6785","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Sydney Student (web)_Launch and Navigate",16
"6786","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Utility - Collection Manipulation",1
"6787","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,"Utility - Environment",4
"6788","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-27,NA,216
"6789","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Blueprism.AutomateProcessCore.clsCollectionActions",2
"6790","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Outlook",2
"6791","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Sydney Student (Web) - Applicant Credits & Credits",8
"6792","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Sydney Student (Web) - SM Request",5
"6793","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Sydney Student (web)_Launch and Navigate",8
"6794","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,"Utility - Environment",2
"6795","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-28,NA,115
"6796","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Blueprism.AutomateProcessCore.clsCollectionActions",2
"6797","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Outlook",2
"6798","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Sydney Student (Web) - Applicant Credits & Credits",8
"6799","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Sydney Student (Web) - SM Request",5
"6800","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Sydney Student (web)_Launch and Navigate",8
"6801","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,"Utility - Environment",2
"6802","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-29,NA,115
"6803","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Blueprism.AutomateProcessCore.clsCollectionActions",2
"6804","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Outlook",2
"6805","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Sydney Student (Web) - Applicant Credits & Credits",4
"6806","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Sydney Student (Web) - SM Request",4
"6807","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Sydney Student (web)_Launch and Navigate",8
"6808","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,"Utility - Environment",2
"6809","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-09-30,NA,67
"6810","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-10-01,"Blueprism.Automate.clsWorkQueuesActions",2
"6811","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-10-01,"Blueprism.AutomateProcessCore.clsCollectionActions",4
"6812","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-10-01,"Outlook",2
"6813","P50 - Processing Credit Offers - Queue Loader V3","P50",2019-10-01,"Sydney Student (Web) - Applicant Credits & Credits",14
